,Name,Link2,Link,Code,happy,sad,surprise,fear,disgust,angry,neutral
48,Bakhuda Tumhi Ho | Atif Aslam | Alka Yagnik | Kismat Konnection | 2009 ,https://www.youtube.com/watch?v=MA2XFam0d3A,https://www.youtube.com/embed/MA2XFam0d3A,MA2XFam0d3A,1,0,1,0,1,1,1
49,"Surili Akhiyon Wale (From ""Veer"") ",https://www.youtube.com/watch?v=cNBDBalwWKY,https://www.youtube.com/embed/cNBDBalwWKY,cNBDBalwWKY,1,0,0,0,1,1,1
50,Tune Jo Na Kaha ,https://www.youtube.com/watch?v=01HR1uP4kic,https://www.youtube.com/embed/01HR1uP4kic,01HR1uP4kic,0,1,0,1,0,1,1
51,Lag Jaa Gale (Acoustic) | Sanam ,https://www.youtube.com/watch?v=HnLtNrvfZTU,https://www.youtube.com/embed/HnLtNrvfZTU,HnLtNrvfZTU,1,0,1,0,1,1,1
52,Mera Pyar Tera Pyar ,https://www.youtube.com/watch?v=ylCOa4mdIvE,https://www.youtube.com/embed/ylCOa4mdIvE,ylCOa4mdIvE,1,0,0,0,0,1,1
53,"Tere Bin (From ""Simmba"") ",https://www.youtube.com/watch?v=P84DXiycs9c,https://www.youtube.com/embed/P84DXiycs9c,P84DXiycs9c,1,0,1,0,1,1,1
54,WAJAH TUM HO ,https://www.youtube.com/watch?v=UF9kvy51_F0,https://www.youtube.com/embed/UF9kvy51_F0,UF9kvy51_F0,1,0,1,0,0,0,1
55,BANJAARA ,https://www.youtube.com/watch?v=_eZnQzneuKs,https://www.youtube.com/embed/_eZnQzneuKs,_eZnQzneuKs,1,1,0,1,0,0,1
56,"Raataan Lambiyan (From ""Shershaah"") ",https://www.youtube.com/watch?v=Dm6YRJHy64c,https://www.youtube.com/embed/Dm6YRJHy64c,Dm6YRJHy64c,1,0,1,0,1,1,1
57,Pani Da Rang | Full Song With Lyrics | Vicky Donor | Ayushmann Khurrana & Yami Gautam ,https://www.youtube.com/watch?v=2kgEc6oH9J0,https://www.youtube.com/embed/2kgEc6oH9J0,2kgEc6oH9J0,1,0,1,0,1,1,1
58,TERE MAST MAST DO NAIN ,https://www.youtube.com/watch?v=Mz2yP0A3t4o,https://www.youtube.com/embed/Mz2yP0A3t4o,Mz2yP0A3t4o,1,0,1,0,0,0,0
59,Tum Se Hi,https://www.youtube.com/watch?v=I94fhjQ-U30,https://www.youtube.com/embed/I94fhjQ-U30,I94fhjQ-U30,1,0,1,0,1,1,1
60,Kuch Is Tarah,https://www.youtube.com/watch?v=E74V-X9AtAg,https://www.youtube.com/embed/E74V-X9AtAg,E74V-X9AtAg,1,0,0,0,0,1,1
61,"Falak Tak | Tashan | Akshay Kumar Kareena Kapoor Udit Narayan Mahalaxmi Iyer Vishal-Shekhar ",https://www.youtube.com/watch?v=vr8RaNuWjWc,https://www.youtube.com/embed/vr8RaNuWjWc,vr8RaNuWjWc,1,0,1,0,0,1,1
62,YE TUNE KYA KIYA ,https://www.youtube.com/watch?v=jcAn44985E0,https://www.youtube.com/embed/jcAn44985E0,jcAn44985E0,1,0,1,0,1,0,0
63,MEHERBANI | The Shaukeens | Akshay Kumar | Arko | Jubin ,https://www.youtube.com/watch?v=kDgBQFbwX2Y,https://www.youtube.com/embed/kDgBQFbwX2Y,kDgBQFbwX2Y,1,0,0,0,0,1,1
64,Main Koi Aisa Geet Gaoon ,https://www.youtube.com/watch?v=vDCnew2uhT4,https://www.youtube.com/embed/vDCnew2uhT4,vDCnew2uhT4,1,0,1,0,1,1,1
65,Main Rang Sharbaton Ka ,https://www.youtube.com/watch?v=cE4atI_v-Z0,https://www.youtube.com/embed/cE4atI_v-Z0,cE4atI_v-Z0,1,0,1,0,0,1,1
66,"Moh Moh Ke Dhaage | Lyrical Song | Dum Laga Ke Haisha | Ayushmann Bhumi | Monali | Anu Malik Varun ",https://www.youtube.com/watch?v=JbDktrsnH40,https://www.youtube.com/embed/JbDktrsnH40,JbDktrsnH40,1,0,0,0,1,1,1
67,"Jashn-E-Bahaaraa (From ""Jodhaa Akbar"") ",https://www.youtube.com/watch?v=tlZO7G-D0mg,https://www.youtube.com/embed/tlZO7G-D0mg,tlZO7G-D0mg,1,0,1,0,1,0,0
68,Yeh Raaten Yeh Mausam | Sanam ft. Simran Sehgal ,https://www.youtube.com/watch?v=4HRC6c5-2lQ,https://www.youtube.com/embed/4HRC6c5-2lQ,4HRC6c5-2lQ,1,0,0,0,0,1,1
69,Chaar Kadam' | PK | Sushant Singh Rajput | Anushka Sharma | T-series ,https://www.youtube.com/watch?v=WKbwopSXLWU,https://www.youtube.com/embed/WKbwopSXLWU,WKbwopSXLWU,1,0,1,0,1,0,1
70,Jeena Jeena,https://www.youtube.com/watch?v=rF6P-qgd3Po,https://www.youtube.com/embed/rF6P-qgd3Po,rF6P-qgd3Po,0,1,0,1,1,0,0
71,Jadu Hai Nasha Hai ,https://www.youtube.com/watch?v=Iwa0Z9roM7g,https://www.youtube.com/embed/Iwa0Z9roM7g,Iwa0Z9roM7g,1,0,1,0,1,0,1
72,Ishq Bulaava ,https://www.youtube.com/watch?v=ZCRL8V0ZkEA,https://www.youtube.com/embed/ZCRL8V0ZkEA,ZCRL8V0ZkEA,1,0,1,0,0,0,1
73,Rabba Mehar Kari | Darshan Raval | Youngveer | Aditya D | Tru Makers | Indie Music ,https://www.youtube.com/watch?v=7zEx0AJguSM,https://www.youtube.com/embed/7zEx0AJguSM,7zEx0AJguSM,1,0,1,0,1,0,0
74,Namo Namo - Lyrical | Kedarnath | Sushant Rajput | Sara Ali Khan | Amit Trivedi | Amitabh B ,https://www.youtube.com/watch?v=dx4Teh-nv3A,https://www.youtube.com/embed/dx4Teh-nv3A,dx4Teh-nv3A,1,0,1,0,0,1,1
75,Uska Hi Banana ,https://www.youtube.com/watch?v=hmsebjbRb1k,https://www.youtube.com/embed/hmsebjbRb1k,hmsebjbRb1k,1,1,1,1,0,0,0
76,Dil Kyun Yeh Mera Shor Kare (Kites),https://www.youtube.com/watch?v=P6X9x3jE_bM,https://www.youtube.com/embed/P6X9x3jE_bM,P6X9x3jE_bM,1,0,0,0,0,1,1
77,Jab Se Tere naina,https://www.youtube.com/watch?v=bfUhkXFNIig,https://www.youtube.com/embed/bfUhkXFNIig,bfUhkXFNIig,1,0,1,0,1,1,1
78,Zindagi Kuch Toh Bata (Reprise) Full Song with LYRICS Pritam | Salman Khan | Bajrangi Bhaijaan ,https://www.youtube.com/watch?v=ITyHqStTDeg,https://www.youtube.com/embed/ITyHqStTDeg,ITyHqStTDeg,1,0,1,0,1,1,1
79,Ek Pyar Ka Nagma | Sanam ,https://www.youtube.com/watch?v=eVv8rcMEMuM,https://www.youtube.com/embed/eVv8rcMEMuM,eVv8rcMEMuM,1,0,0,0,0,1,1
80,"Tu Na Jaane Aas Paas Hai Khuda Full HD Song | Anjaana Anjaani | Priyanka Chopra Ranbir Kapoor ",https://www.youtube.com/watch?v=jAUSF4_ygJg,https://www.youtube.com/embed/jAUSF4_ygJg,jAUSF4_ygJg,1,0,0,1,1,0,0
81,"I love you (Full song) Bodyguard feat. Salman khan Kareena Kapoor ",https://www.youtube.com/watch?v=0JLRExeOH-k,https://www.youtube.com/embed/0JLRExeOH-k,0JLRExeOH-k,1,0,0,0,0,1,1
82,"Aaoge Jab Tum | Jab We Met | Kareena Kapoor Shahid Kapoor | Ustad Rashid Khan ",https://www.youtube.com/watch?v=CNZMIhckaA0,https://www.youtube.com/embed/CNZMIhckaA0,CNZMIhckaA0,0,1,0,1,1,0,1
