S. No,Name,Link2,Link,Code,happy,sad,surprise,fear,disgust,angry,neutral,,
87,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"") ",https://www.youtube.com/watch?v=Pm0Ga7R-vrM,https://www.youtube.com/embed/Pm0Ga7R-vrM,Pm0Ga7R-vrM,1,0,1,0,0,0,1,,
88,Kaise Mujhe Tum Mil Gayi GHAJINI - 2008 - Bollywood - AR Rahman Sir - Aamir Khan & Asin ,https://www.youtube.com/watch?v=KAORKKOmMgQ,https://www.youtube.com/embed/KAORKKOmMgQ,KAORKKOmMgQ,1,0,0,0,0,1,1,,
89,"Tum Jo Aaye | Once Upon A Time In Mumbai | Ajay Devgn,Rahat Fateh Ali Khan | Feel The Lyrics ",https://www.youtube.com/watch?v=e0-kjq-tEds,https://www.youtube.com/embed/e0-kjq-tEds,e0-kjq-tEds,1,0,0,0,0,1,1,,
90,"Lut Gaye (Full Song) Emraan Hashmi, Yukti | Jubin N, Tanishk B, Manoj M | Bhushan K | Radhika-Vinay ",https://www.youtube.com/watch?v=sCbbMZ-q4-I,https://www.youtube.com/embed/sCbbMZ-q4-I,sCbbMZ-q4-I,1,1,1,1,0,1,1,,
91,KAUN TUJHE Lyrical | M.S. DHONI -THE UNTOLD STORY | Amaal Mallik Palak | Sushant Singh Disha Patani ,https://www.youtube.com/watch?v=Ov0YGGSY6gY,https://www.youtube.com/embed/Ov0YGGSY6gY,Ov0YGGSY6gY,1,0,1,0,1,1,1,,
92,"Tera Fitoor Lyrical - Genius | Utkarsh Sharma, Ishita Chauhan | Arijit Singh | Himesh Reshammiya ",https://www.youtube.com/watch?v=qfdShSZZxlg,https://www.youtube.com/embed/qfdShSZZxlg,qfdShSZZxlg,1,0,0,0,0,1,1,,
93,"Sunn Raha Hai Na Tu Aashiqui 2 Full Song With Lyrics | Aditya Roy Kapur, Shraddha Kapoor ",https://www.youtube.com/watch?v=z3UHfi9vpbc,https://www.youtube.com/embed/z3UHfi9vpbc,z3UHfi9vpbc,0,1,0,1,1,0,0,,
94,Muskurane (Romantic) ,https://www.youtube.com/watch?v=8MUgi5liyMU,https://www.youtube.com/embed/8MUgi5liyMU,8MUgi5liyMU,1,0,1,0,1,0,1,,
95,"LO MAAN LIYA Full Video Song | Raaz Reboot | Arijit Singh|Emraan Hashmi,Kriti Kharbanda,Gaurav Arora ",https://www.youtube.com/watch?v=KSGYVl4ZgRs,https://www.youtube.com/embed/KSGYVl4ZgRs,KSGYVl4ZgRs,1,0,1,0,0,0,1,,
96,Tere Sang Yaara - Full Video | Rustom | Akshay Kumar & Ileana D'cruz | Arko ft. Atif Aslam | Manoj M ,https://www.youtube.com/watch?v=gIOea2pgfIo,https://www.youtube.com/embed/gIOea2pgfIo,gIOea2pgfIo,1,0,1,0,0,1,1,,
